model,transform,condition,ed_over_d
QNN,identity,1.0,0.8984248324316566
rebuilt classical 2000x2000,pairing=0;m=-2,33.970562748477114,0.607353686596754
rebuilt classical 2000x2000,pairing=0;m=-1,6.854101966249686,0.6605062258742712
rebuilt classical 2000x2000,pairing=0;m=+1,6.854101966249686,0.6325871329685049
rebuilt classical 2000x2000,pairing=0;m=+2,33.970562748477114,0.5813498709167739
rebuilt classical 2000x2000,pairing=0;m=+3,118.99159604515542,0.5438060326763468
rebuilt classical 2000x2000,pairing=0;m=+4,321.9968943799908,0.5186648633881131
rebuilt classical 2000x2000,pairing=0;m=+5,726.9986244815418,0.5021674939065299
rebuilt classical 2000x2000,pairing=1;m=-5,726.9986244815769,0.5215104961142069
rebuilt classical 2000x2000,pairing=1;m=-4,321.99689437999075,0.5390003387698972
rebuilt classical 2000x2000,pairing=1;m=-3,118.9915960451559,0.565961961977832
rebuilt classical 2000x2000,pairing=1;m=-2,33.970562748477164,0.6053164017565577
rebuilt classical 2000x2000,pairing=1;m=-1,6.854101966249688,0.6532423667850289
rebuilt classical 2000x2000,pairing=1;m=+1,6.854101966249688,0.6459053420727674
rebuilt classical 2000x2000,pairing=1;m=+2,33.970562748477164,0.597060793055356
rebuilt classical 2000x2000,pairing=1;m=+3,118.9915960451559,0.5593983319977398
rebuilt classical 2000x2000,pairing=1;m=+4,321.99689437999075,0.5344664884617468
rebuilt classical 2000x2000,pairing=1;m=+5,726.9986244815769,0.5185449063869203
rebuilt classical 2000x2000,pairing=2;m=-5,726.9986244815769,0.5188853695107466
rebuilt classical 2000x2000,pairing=2;m=-4,321.99689437999075,0.5350767254515568
rebuilt classical 2000x2000,pairing=2;m=-3,118.9915960451559,0.5596771413510936
rebuilt classical 2000x2000,pairing=2;m=-2,33.970562748477185,0.597632522573815
rebuilt classical 2000x2000,pairing=2;m=-1,6.854101966249688,0.6469171203722727
rebuilt classical 2000x2000,pairing=2;m=+1,6.854101966249688,0.6509037850282968
rebuilt classical 2000x2000,pairing=2;m=+2,33.970562748477185,0.6019864428414109
rebuilt classical 2000x2000,pairing=2;m=+3,118.9915960451559,0.562889788485216
rebuilt classical 2000x2000,pairing=2;m=+4,321.99689437999075,0.5368839355643924
rebuilt classical 2000x2000,pairing=2;m=+5,726.9986244815769,0.5198899157492843
rebuilt classical 2000x2000,pairing=3;m=-5,726.9986244815769,0.4927828709626164
rebuilt classical 2000x2000,pairing=3;m=-4,321.99689437999075,0.5112402613838631
rebuilt classical 2000x2000,pairing=3;m=-3,118.9915960451559,0.5394850237705162
rebuilt classical 2000x2000,pairing=3;m=-2,33.970562748477185,0.5829200090759107
